ticker,sector,event_date,horizon,news_type,in_trading_hours,already_priced_in,ta_signals_cited,predicted_direction,predicted_magnitude,confidence,actual_return_pct,sector_return_pct,abnormal_return_pct,dividend_adj_pct,actual_return_adj_pct,observed_direction,observed_magnitude,directional_hit,magnitude_hit,status,file
ETEL,Telecommunications,2025-06-26,medium,operational,True,True,macd_bullish_crossover|bollinger_near_upper|near_20d_high|strong_uptrend|rsi_neutral,neutral,small,0.55,0.185,0.185,0.0,0.0,0.185,neutral,small,True,True,scored,ETEL_2025-06-26_ec18adb0.json
ETEL,Telecommunications,2025-06-26,large,operational,True,True,macd_bullish_crossover|bollinger_near_upper|near_20d_high|strong_uptrend|rsi_neutral,neutral,small,0.5,5.958,5.958,0.0,0.0,5.958,up,medium,False,False,scored,ETEL_2025-06-26_ec18adb0.json
FWRY,Technology & Fintech,2025-06-24,short,operational,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|rsi_neutral,up,small,0.65,2.831,3.7,-0.869,0.0,2.831,up,medium,True,False,scored,FWRY_2025-06-24_c6cca7b7.json
FWRY,Technology & Fintech,2025-06-24,medium,operational,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|rsi_neutral,up,medium,0.68,5.329,5.739,-0.41,0.0,5.329,up,medium,True,True,scored,FWRY_2025-06-24_c6cca7b7.json
FWRY,Technology & Fintech,2025-06-24,large,operational,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|rsi_neutral,up,medium,0.62,8.326,9.621,-1.295,0.0,8.326,up,medium,True,True,scored,FWRY_2025-06-24_c6cca7b7.json
FWRY,Technology & Fintech,2025-06-24,short,earnings,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|normal_volatility,up,small,0.75,2.831,3.7,-0.869,0.0,2.831,up,medium,True,False,scored,FWRY_2025-06-24_d2aabea2.json
FWRY,Technology & Fintech,2025-06-24,medium,earnings,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|normal_volatility,up,medium,0.75,5.329,5.739,-0.41,0.0,5.329,up,medium,True,True,scored,FWRY_2025-06-24_d2aabea2.json
FWRY,Technology & Fintech,2025-06-24,large,earnings,True,False,bollinger_above_upper|macd_bullish_crossover|near_20d_high|strong_uptrend|normal_volatility,up,medium,0.7,8.326,9.621,-1.295,0.0,8.326,up,medium,True,True,scored,FWRY_2025-06-24_d2aabea2.json
GBCO,Diversified Holding,2025-06-23,short,operational,True,False,macd_bearish|strong_uptrend|high_volatility,neutral,small,0.65,-0.618,-0.618,0.0,0.0,-0.618,neutral,small,True,True,scored,GBCO_2025-06-23_26e72c19.json
GBCO,Diversified Holding,2025-06-23,medium,operational,True,False,macd_bearish|strong_uptrend|high_volatility,neutral,small,0.6,0.707,0.707,0.0,0.0,0.707,neutral,small,True,True,scored,GBCO_2025-06-23_26e72c19.json
GBCO,Diversified Holding,2025-06-23,large,operational,True,False,macd_bearish|strong_uptrend|high_volatility,neutral,small,0.55,3.401,3.401,0.0,0.0,3.401,neutral,small,True,True,scored,GBCO_2025-06-23_26e72c19.json
HRHO,Non-Bank Financials,2025-06-24,short,operational,True,True,macd_bearish|near_20d_low|high_volatility|up_streak,up,small,0.6,2.182,1.46,0.722,0.0,2.182,up,small,True,True,scored,HRHO_2025-06-24_ea2cfdb5.json
HRHO,Non-Bank Financials,2025-06-24,medium,operational,True,True,macd_bearish|near_20d_low|high_volatility|up_streak,up,medium,0.55,-0.4,2.183,-2.583,0.0,-0.4,neutral,small,False,False,scored,HRHO_2025-06-24_ea2cfdb5.json
HRHO,Non-Bank Financials,2025-06-24,large,operational,True,True,macd_bearish|near_20d_low|high_volatility|up_streak,up,medium,0.45,-10.873,1.183,-12.056,0.0,-10.873,down,medium,False,False,scored,HRHO_2025-06-24_ea2cfdb5.json
JUFO,Food & Beverages,2025-06-25,short,earnings,False,False,strong_downtrend|macd_bullish|bollinger_middle|near_20d_high|up_streak_3plus|normal_volatility,down,small,0.55,-1.373,-1.373,0.0,0.0,-1.373,down,medium,True,False,scored,JUFO_2025-06-25_0ec034b0.json
JUFO,Food & Beverages,2025-06-25,medium,earnings,False,False,strong_downtrend|macd_bullish|bollinger_middle|near_20d_high|up_streak_3plus|normal_volatility,down,medium,0.6,-1.626,-1.626,0.0,0.0,-1.626,down,small,True,False,scored,JUFO_2025-06-25_0ec034b0.json
JUFO,Food & Beverages,2025-06-25,large,earnings,False,False,strong_downtrend|macd_bullish|bollinger_middle|near_20d_high|up_streak_3plus|normal_volatility,down,medium,0.65,2.746,2.746,0.0,0.0,2.746,neutral,small,False,False,scored,JUFO_2025-06-25_0ec034b0.json
JUFO,Food & Beverages,2025-06-25,short,operational,False,False,macd_bullish|strong_downtrend|normal_volatility|bollinger_middle,down,small,0.55,-1.373,-1.373,0.0,0.0,-1.373,down,medium,True,False,scored,JUFO_2025-06-25_733a9f51.json
JUFO,Food & Beverages,2025-06-25,medium,operational,False,False,macd_bullish|strong_downtrend|normal_volatility|bollinger_middle,down,small,0.5,-1.626,-1.626,0.0,0.0,-1.626,down,small,True,True,scored,JUFO_2025-06-25_733a9f51.json
JUFO,Food & Beverages,2025-06-25,large,operational,False,False,macd_bullish|strong_downtrend|normal_volatility|bollinger_middle,down,medium,0.45,2.746,2.746,0.0,0.0,2.746,neutral,small,False,False,scored,JUFO_2025-06-25_733a9f51.json
MASR,Real Estate,2025-06-25,short,operational,True,False,macd_bearish|up_streak_3plus|high_volatility,up,small,0.62,1.361,1.952,-0.592,0.0,1.361,up,medium,True,False,scored,MASR_2025-06-25_0d733e0e.json
MASR,Real Estate,2025-06-25,medium,operational,True,False,macd_bearish|up_streak_3plus|high_volatility,up,medium,0.58,3.175,2.614,0.561,0.0,3.175,up,medium,True,True,scored,MASR_2025-06-25_0d733e0e.json
MASR,Real Estate,2025-06-25,large,operational,True,False,macd_bearish|up_streak_3plus|high_volatility,up,medium,0.52,3.175,-2.682,5.857,0.0,3.175,neutral,small,False,False,scored,MASR_2025-06-25_0d733e0e.json
MCQE,Construction & Building Materials,2025-06-23,short,dividend,False,False,rsi_overbought|macd_bullish|bollinger_near_upper|near_20d_high|strong_uptrend|high_volatility,neutral,small,0.75,4.771,3.41,1.36,0.0,4.771,up,medium,False,False,scored,MCQE_2025-06-23_951c9e6e.json
MCQE,Construction & Building Materials,2025-06-23,medium,dividend,False,False,rsi_overbought|macd_bullish|bollinger_near_upper|near_20d_high|strong_uptrend|high_volatility,up,small,0.7,17.594,9.876,7.718,0.0,17.594,up,large,True,False,scored,MCQE_2025-06-23_951c9e6e.json
MCQE,Construction & Building Materials,2025-06-23,large,dividend,False,False,rsi_overbought|macd_bullish|bollinger_near_upper|near_20d_high|strong_uptrend|high_volatility,up,small,0.65,22.508,11.366,11.142,0.0,22.508,up,medium,True,False,scored,MCQE_2025-06-23_951c9e6e.json
RAYA,Technology & Fintech,2025-06-23,short,dividend,False,False,rsi_neutral|macd_bearish|bollinger_middle|normal_volatility,up,small,0.6,0.358,3.7,-3.342,0.0,0.358,neutral,small,False,False,scored,RAYA_2025-06-23_8e32a8b4.json
RAYA,Technology & Fintech,2025-06-23,medium,dividend,False,False,rsi_neutral|macd_bearish|bollinger_middle|normal_volatility,up,small,0.5,2.151,5.739,-3.588,0.0,2.151,up,small,True,True,scored,RAYA_2025-06-23_8e32a8b4.json
RAYA,Technology & Fintech,2025-06-23,large,dividend,False,False,rsi_neutral|macd_bearish|bollinger_middle|normal_volatility,up,small,0.4,13.262,9.621,3.641,1.44,14.702,up,medium,True,False,scored,RAYA_2025-06-23_8e32a8b4.json
RAYA,Technology & Fintech,2025-06-24,short,m_and_a,True,False,rsi_neutral|macd_bearish_crossover|bollinger_middle|normal_volatility|near_20d_high,up,small,0.55,0.358,3.7,-3.342,0.0,0.358,neutral,small,False,False,scored,RAYA_2025-06-24_c190bd14.json
RAYA,Technology & Fintech,2025-06-24,medium,m_and_a,True,False,rsi_neutral|macd_bearish_crossover|bollinger_middle|normal_volatility|near_20d_high,up,small,0.5,2.151,5.739,-3.588,0.0,2.151,up,small,True,True,scored,RAYA_2025-06-24_c190bd14.json
RAYA,Technology & Fintech,2025-06-24,large,m_and_a,True,False,rsi_neutral|macd_bearish_crossover|bollinger_middle|normal_volatility|near_20d_high,neutral,small,0.4,13.262,9.621,3.641,0.0,13.262,up,medium,False,False,scored,RAYA_2025-06-24_c190bd14.json
RAYA,Technology & Fintech,2025-06-29,short,operational,False,False,macd_bullish_crossover|strong_uptrend|normal_volatility|rsi_neutral|bollinger_middle|up_streak_3plus,up,medium,0.82,8.997,1.481,7.516,0.0,8.997,up,large,True,False,scored,RAYA_2025-06-29_d0cffc52.json
RAYA,Technology & Fintech,2025-06-29,medium,operational,False,False,macd_bullish_crossover|strong_uptrend|normal_volatility|rsi_neutral|bollinger_middle|up_streak_3plus,up,medium,0.76,10.727,1.104,9.623,0.0,10.727,up,large,True,False,scored,RAYA_2025-06-29_d0cffc52.json
RAYA,Technology & Fintech,2025-06-29,large,operational,False,False,macd_bullish_crossover|strong_uptrend|normal_volatility|rsi_neutral|bollinger_middle|up_streak_3plus,up,medium,0.68,7.958,-0.057,8.015,0.0,7.958,up,small,True,False,scored,RAYA_2025-06-29_d0cffc52.json
