ticker,event_date,horizon,news_type,in_trading_hours,already_priced_in,ta_signals_cited,predicted_direction,predicted_magnitude,confidence,actual_ar_pct,dividend_adj_pct,actual_ar_adj_pct,observed_direction,observed_magnitude,directional_hit,magnitude_hit,status,file
COMI,2025-01-15,short,operational,False,False,rsi_oversold|bollinger_near_lower|macd_bearish|near_20d_low|normal_volatility,up,medium,0.72,0.099,0.0,0.099,neutral,small,False,False,scored,COMI_2025-01-15_5bf0f075.json
COMI,2025-01-15,medium,operational,False,False,rsi_oversold|bollinger_near_lower|macd_bearish|near_20d_low|normal_volatility,neutral,medium,0.58,0.126,0.0,0.126,neutral,small,True,False,scored,COMI_2025-01-15_5bf0f075.json
COMI,2025-01-15,large,operational,False,False,rsi_oversold|bollinger_near_lower|macd_bearish|near_20d_low|normal_volatility,neutral,small,0.45,-0.365,0.0,-0.365,neutral,small,True,True,scored,COMI_2025-01-15_5bf0f075.json
ETEL,2025-01-08,short,regulatory,False,False,near_20d_high|macd_bullish|bollinger_near_upper|low_volatility|strong_uptrend,up,small,0.55,0.0,0.0,0.0,neutral,small,False,False,scored,ETEL_2025-01-08_5b8ff664.json
ETEL,2025-01-08,medium,regulatory,False,False,near_20d_high|macd_bullish|bollinger_near_upper|low_volatility|strong_uptrend,up,medium,0.65,0.0,0.0,0.0,neutral,small,False,False,scored,ETEL_2025-01-08_5b8ff664.json
ETEL,2025-01-08,large,regulatory,False,False,near_20d_high|macd_bullish|bollinger_near_upper|low_volatility|strong_uptrend,up,medium,0.6,0.0,0.0,0.0,neutral,small,False,False,scored,ETEL_2025-01-08_5b8ff664.json
HRHO,2025-01-02,short,operational,False,True,macd_bearish|rsi_neutral|bollinger_middle|low_volatility|near_20d_high,neutral,small,0.55,0.705,0.0,0.705,neutral,small,True,True,scored,HRHO_2025-01-02_621d9cba.json
HRHO,2025-01-02,medium,operational,False,True,macd_bearish|rsi_neutral|bollinger_middle|low_volatility|near_20d_high,neutral,small,0.5,-1.283,0.0,-1.283,neutral,small,True,True,scored,HRHO_2025-01-02_621d9cba.json
HRHO,2025-01-02,large,operational,False,True,macd_bearish|rsi_neutral|bollinger_middle|low_volatility|near_20d_high,,,,-0.223,0.0,-0.223,,,,,no_prediction,HRHO_2025-01-02_621d9cba.json
MASR,2025-01-15,short,operational,True,False,macd_bearish_crossover|strong_downtrend|low_volatility,neutral,small,0.55,1.167,0.0,1.167,up,medium,False,False,scored,MASR_2025-01-15_4faae97b.json
MASR,2025-01-15,medium,operational,True,False,macd_bearish_crossover|strong_downtrend|low_volatility,neutral,small,0.5,0.469,0.0,0.469,neutral,small,True,True,scored,MASR_2025-01-15_4faae97b.json
MASR,2025-01-15,large,operational,True,False,macd_bearish_crossover|strong_downtrend|low_volatility,up,small,0.45,4.523,0.0,4.523,up,medium,True,False,scored,MASR_2025-01-15_4faae97b.json
ORAS,2025-01-08,short,dividend,True,False,rsi_neutral|normal_volatility|near_20d_high,neutral,small,0.65,2.817,0.0,2.817,up,medium,False,False,scored,ORAS_2025-01-08_57b1965a.json
ORAS,2025-01-08,medium,dividend,True,False,rsi_neutral|normal_volatility|near_20d_high,neutral,small,0.55,9.308,0.0,9.308,up,large,False,False,scored,ORAS_2025-01-08_57b1965a.json
ORAS,2025-01-08,large,dividend,True,False,rsi_neutral|normal_volatility|near_20d_high,neutral,small,0.5,-7.14,15.76,8.62,up,medium,False,False,scored,ORAS_2025-01-08_57b1965a.json
ORAS,2025-01-09,short,other,False,True,rsi_neutral|macd_bullish|trend_mixed|low_volatility,neutral,small,0.7,1.967,0.0,1.967,up,medium,False,False,scored,ORAS_2025-01-09_134e872c.json
ORAS,2025-01-09,medium,other,False,True,rsi_neutral|macd_bullish|trend_mixed|low_volatility,neutral,small,0.65,-2.192,0.0,-2.192,neutral,small,True,True,scored,ORAS_2025-01-09_134e872c.json
ORAS,2025-01-09,large,other,False,True,rsi_neutral|macd_bullish|trend_mixed|low_volatility,neutral,small,0.6,-9.512,0.0,-9.512,down,medium,False,False,scored,ORAS_2025-01-09_134e872c.json
ORAS,2025-01-09,short,operational,True,False,macd_bullish|trend_mixed|normal_volatility|rsi_neutral,up,small,0.6,1.171,0.0,1.171,up,medium,True,False,scored,ORAS_2025-01-09_b8e161ea.json
ORAS,2025-01-09,medium,operational,True,False,macd_bullish|trend_mixed|normal_volatility|rsi_neutral,up,medium,0.55,2.162,0.0,2.162,neutral,small,False,False,scored,ORAS_2025-01-09_b8e161ea.json
ORAS,2025-01-09,large,operational,True,False,macd_bullish|trend_mixed|normal_volatility|rsi_neutral,up,medium,0.5,-8.024,0.0,-8.024,down,medium,False,False,scored,ORAS_2025-01-09_b8e161ea.json
ORHD,2025-01-15,short,operational,False,False,macd_bearish_crossover|bollinger_near_lower|strong_uptrend|normal_volatility|rsi_neutral,neutral,small,0.55,3.969,0.0,3.969,up,large,False,False,scored,ORHD_2025-01-15_9dbb590d.json
ORHD,2025-01-15,medium,operational,False,False,macd_bearish_crossover|bollinger_near_lower|strong_uptrend|normal_volatility|rsi_neutral,up,medium,0.65,-0.23,0.0,-0.23,neutral,small,False,False,scored,ORHD_2025-01-15_9dbb590d.json
ORHD,2025-01-15,large,operational,False,False,macd_bearish_crossover|bollinger_near_lower|strong_uptrend|normal_volatility|rsi_neutral,up,medium,0.7,3.936,0.0,3.936,neutral,small,False,False,scored,ORHD_2025-01-15_9dbb590d.json
RAYA,2025-01-02,short,operational,False,False,macd_bearish|rsi_neutral|bollinger_near_lower|near_20d_low|normal_volatility,neutral,small,0.6,-1.371,0.0,-1.371,down,medium,False,False,scored,RAYA_2025-01-02_ac33a6ea.json
RAYA,2025-01-02,medium,operational,False,False,macd_bearish|rsi_neutral|bollinger_near_lower|near_20d_low|normal_volatility,neutral,small,0.45,-2.378,0.0,-2.378,neutral,small,True,True,scored,RAYA_2025-01-02_ac33a6ea.json
RAYA,2025-01-02,large,operational,False,False,macd_bearish|rsi_neutral|bollinger_near_lower|near_20d_low|normal_volatility,,,,-5.395,0.0,-5.395,,,,,no_prediction,RAYA_2025-01-02_ac33a6ea.json
RMDA,2025-01-09,short,operational,False,False,macd_bullish|strong_uptrend|rsi_neutral|bollinger_middle|near_20d_high,up,small,0.75,2.144,0.0,2.144,up,medium,True,False,scored,RMDA_2025-01-09_31c660ba.json
RMDA,2025-01-09,medium,operational,False,False,macd_bullish|strong_uptrend|rsi_neutral|bollinger_middle|near_20d_high,up,medium,0.68,0.713,0.0,0.713,neutral,small,False,False,scored,RMDA_2025-01-09_31c660ba.json
RMDA,2025-01-09,large,operational,False,False,macd_bullish|strong_uptrend|rsi_neutral|bollinger_middle|near_20d_high,up,medium,0.6,5.124,0.0,5.124,up,small,True,False,scored,RMDA_2025-01-09_31c660ba.json
TMGH,2025-01-13,short,operational,True,False,rsi_neutral|macd_bearish|bollinger_below_lower|at_20d_low|down_streak_3plus|low_volatility,up,small,0.55,-1.905,0.0,-1.905,down,medium,False,False,scored,TMGH_2025-01-13_013127d9.json
TMGH,2025-01-13,medium,operational,True,False,rsi_neutral|macd_bearish|bollinger_below_lower|at_20d_low|down_streak_3plus|low_volatility,up,medium,0.65,4.355,0.0,4.355,up,medium,True,True,scored,TMGH_2025-01-13_013127d9.json
TMGH,2025-01-13,large,operational,True,False,rsi_neutral|macd_bearish|bollinger_below_lower|at_20d_low|down_streak_3plus|low_volatility,up,medium,0.55,2.825,0.0,2.825,neutral,small,False,False,scored,TMGH_2025-01-13_013127d9.json
TMGH,2025-01-15,short,other,False,True,macd_bearish|strong_downtrend|normal_volatility|near_20d_low,neutral,small,0.65,-0.63,0.0,-0.63,neutral,small,True,True,scored,TMGH_2025-01-15_670eb9fb.json
TMGH,2025-01-15,medium,other,False,True,macd_bearish|strong_downtrend|normal_volatility|near_20d_low,down,small,0.55,-0.871,0.0,-0.871,neutral,small,False,False,scored,TMGH_2025-01-15_670eb9fb.json
TMGH,2025-01-15,large,other,False,True,macd_bearish|strong_downtrend|normal_volatility|near_20d_low,down,medium,0.5,-2.133,0.0,-2.133,neutral,small,False,False,scored,TMGH_2025-01-15_670eb9fb.json
